Tweet index	Label	Tweet text
1	-1	@Nelly_Fox @Makarenca Moj tud včasih čez dan to dela. Po eni uri ga ven vzamam in rečem ok, ne boš spal, ampak to bo potem tvoj problem.
2	-1	Dej mi švoh pet dek salame! Kolk? Švoh pet dek! Ka je dek? Kaj je švoh? Slabih petdeset gramov! Kaj je slabih? Solit se pojd! Adijo! Adijo.
3	-1	@PureDestiny @chatek Nene, headline januarja, 23 eur. Itak je odvisn od dvorane pa to, sam par eur manj bi ble pa lohk...
4	-1	Toj res čudn, an. Prejšnji twit. Že mam idejo za napis na majici. Poj bom pa vsakmu pokazal napis na seb, pa naj se mal zamisljo.
5	-1	Fakt št. 1: Skor sm zgubila glavo na tekočih stopnicah, ker sm oprezala za enim tipom. Fakt št. 2: V torbici nosim cedevito. #normalday
6	-1	"Navdušen klic mame. ""Romina, na @Val202 bodo dns ob petih govoril o tem, k pravš, da maš tud ti. Neki z barvami."" Sinestezija? ""Ja!"" Jao :)"
7	-1	Tist, k ste vsak dan kidal sneg... pa pol, ko je bil dež in mraz in ste skos jokal na TW. No, to. Zdej pa nehite jamrat nad TEM vremenom!
8	-1	@Selestenje pomoje mal odvisn tud od noge. Men prej pr stran grejo, k pa zadi. Nasploh vsi čevlji :) @NinaGray_ @gromska_strela @Gcerne_
9	-1	Da ne bo kdo preveč resno jemal to z možgani: The popular left/right story has no solid basis in science. http://t.co/UO1wkFg1eA
10	-1	@smolnikar vau, vse so nama uničl... čist... vse. Ne vem, kaj je fora, res ne. :-( Dejansko je en uporabu vsaj štiri C4 za to...
11	-1	Sej je že prou... pa si rekla, da bom lahko še eno kost glodala, če bom pridna... pha, boš že vidla... :) #Meggie http://t.co/96K5YqvGx6
12	-1	Tole je blo se ene 2h nazaj u avajonu, zdej pa ze v hotelu. Odfuk od otoka. Noro:) #vacation #madeira http://t.co/HQkkcc2dMj
13	-1	@BorutKirar Jap, to je blo tud čudovito. Sej mislm, da bo sklep te debate, da nekdo ni dobr premislu, preden so zaprl Slovensko.
14	-1	Jst bi tud najdu kovanec, vreden veliko denarja. Kje je drgač sploh logika? Gor piše neki, vrednost pa veliko večja. Težave modernega sveta.
15	-1	@tejchab Hihi :) No, sej sej, jst tud, ampak za tisto urico si dovolim skoči na hrib. Telefon, mail in te zadeve imam itak na sebi.
16	-1	@GobaFunk @Chuppacadabra @leaathenatabako @ales_gantar včasih sva si sledila na TW, pa je tip vse preveč sral po TL, sem ga odsledil.
17	-1	Ku se pa celotna generacija strinja, da je bil test totalno debiln, se je pa tut mau za zamislt. Ric does it again. #matura
18	-1	"Kakšno zgražanje zaradi ""nepreprič.in sploš"" odg.AB; da ""smo"" izvolili PV, ki v celi kampaniji ni dal enega konkr.odg., nikogar ne moti!"
